number of descriptions	1 dependency parsing	1 dependency reasoning	1 dependency total	2 dependencies parsing	2 dependencies reasoning	2 dependencies total	3 dependencies parsing	3 dependencies reasoning	3 dependencies total	parsing with dummies	reasoning with dummies	total with dummies
-	154.0	106.0	260.0	159.0	472.0	631.0	166.0	737.0	903.0	335.0	1171.0	1506.0
-	155.0	100.0	255.0	158.0	479.0	637.0	166.0	745.0	911.0	336.0	1140.0	1476.0
-	155.0	110.0	265.0	160.0	471.0	631.0	166.0	726.0	892.0	338.0	1139.0	1477.0
-	155.0	105.0	260.0	166.0	478.0	644.0	166.0	737.0	903.0	336.0	1132.0	1468.0
16 (AVG)	186.5	320.1	506.6	201.1	1946.3	2147.4	216.1	2843.5	3059.6	410.7	1124.9	1535.6
-	182.0	320.0	502.0	199.0	1914.0	2113.0	214.0	2829.0	3043.0	406.0	1134.0	1540.0
-	185.0	315.0	500.0	199.0	1946.0	2145.0	211.0	2806.0	3017.0	405.0	1165.0	1570.0
-	182.0	320.0	502.0	208.0	1938.0	2146.0	218.0	2928.0	3146.0	408.0	1095.0	1503.0
-	183.0	327.0	510.0	204.0	1964.0	2168.0	213.0	2905.0	3118.0	405.0	1144.0	1549.0
-	188.0	312.0	500.0	201.0	1899.0	2100.0	214.0	2936.0	3150.0	407.0	1136.0	1543.0
-	182.0	378.0	560.0	200.0	1970.0	2170.0	216.0	2819.0	3035.0	414.0	1145.0	1559.0
-	186.0	314.0	500.0	196.0	1940.0	2136.0	214.0	2729.0	2943.0	408.0	1167.0	1575.0
-	194.0	312.0	506.0	201.0	1893.0	2094.0	210.0	2829.0	3039.0	405.0	1111.0	1516.0
-	185.0	314.0	499.0	204.0	1983.0	2187.0	215.0	2766.0	2981.0	411.0	1125.0	1536.0
-	186.0	320.0	506.0	195.0	2004.0	2199.0	213.0	2821.0	3034.0	403.0	1133.0	1536.0
-	181.0	324.0	505.0	201.0	1819.0	2020.0	219.0	2864.0	3083.0	410.0	1125.0	1535.0
-	185.0	319.0	504.0	197.0	1956.0	2153.0	215.0	2882.0	3097.0	425.0	1106.0	1531.0
-	226.0	283.0	509.0	208.0	1920.0	2128.0	214.0	2780.0	2994.0	410.0	1138.0	1548.0
-	181.0	321.0	502.0	198.0	1959.0	2157.0	215.0	2958.0	3173.0	408.0	1134.0	1542.0
