number of descriptions	1 dependency parsing	1 dependency reasoning	1 dependency total	2 dependencies parsing	2 dependencies reasoning	2 dependencies total	3 dependencies parsing	3 dependencies reasoning	3 dependencies total	parsing with dummies	reasoning with dummies	total with dummies
-	52.0	34.0	86.0	45.0	23.0	68.0	49.0	42.0	91.0	77.0	16.0	93.0
-	52.0	20.0	72.0	44.0	24.0	68.0	48.0	42.0	90.0	66.0	33.0	99.0
-	53.0	19.0	72.0	55.0	11.0	66.0	53.0	33.0	86.0	72.0	31.0	103.0
-	41.0	21.0	62.0	43.0	27.0	70.0	56.0	26.0	82.0	72.0	7.0	79.0
-	48.0	24.0	72.0	51.0	26.0	77.0	60.0	29.0	89.0	62.0	45.0	107.0
-	48.0	26.0	74.0	47.0	21.0	68.0	55.0	25.0	80.0	65.0	31.0	96.0
-	43.0	33.0	76.0	53.0	9.0	62.0	52.0	25.0	77.0	61.0	30.0	91.0
-	42.0	20.0	62.0	51.0	19.0	70.0	49.0	29.0	78.0	73.0	17.0	90.0
-	51.0	11.0	62.0	43.0	41.0	84.0	55.0	46.0	101.0	70.0	26.0	96.0
-	49.0	23.0	72.0	54.0	35.0	89.0	53.0	26.0	79.0	63.0	39.0	102.0
-	47.0	23.0	70.0	50.0	18.0	68.0	50.0	43.0	93.0	67.0	19.0	86.0
-	42.0	18.0	60.0	51.0	24.0	75.0	53.0	34.0	87.0	68.0	28.0	96.0
-	42.0	30.0	72.0	45.0	24.0	69.0	55.0	25.0	80.0	77.0	4.0	81.0
-	51.0	18.0	69.0	46.0	23.0	69.0	60.0	29.0	89.0	76.0	10.0	86.0
-	42.0	23.0	65.0	53.0	11.0	64.0	58.0	21.0	79.0	81.0	6.0	87.0
-	43.0	18.0	61.0	56.0	367.0	423.0	56.0	32.0	88.0	89.0	29.0	118.0
-	51.0	30.0	81.0	55.0	65.0	120.0	55.0	17.0	72.0	104.0	10.0	114.0
-	44.0	18.0	62.0	56.0	69.0	125.0	53.0	31.0	84.0	93.0	-22.0	71.0
-	49.0	27.0	76.0	51.0	45.0	96.0	48.0	33.0	81.0	100.0	-2.0	98.0
-	42.0	22.0	64.0	45.0	18.0	63.0	48.0	44.0	92.0	94.0	14.0	108.0
-	43.0	32.0	75.0	45.0	22.0	67.0	58.0	25.0	83.0	86.0	61.0	147.0
-	43.0	30.0	73.0	48.0	71.0	119.0	53.0	38.0	91.0	96.0	13.0	109.0
-	49.0	6.0	55.0	52.0	20.0	72.0	59.0	21.0	80.0	98.0	25.0	123.0
-	46.0	14.0	60.0	46.0	33.0	79.0	52.0	39.0	91.0	89.0	6.0	95.0
-	42.0	24.0	66.0	55.0	18.0	73.0	48.0	25.0	73.0	81.0	-1.0	80.0
32 (AVG)	55.0	21.7	76.7	61.4	56.3	117.7	73.5	48.6	122.0	80.5	23.5	104.1
-	53.0	19.0	72.0	57.0	26.0	83.0	75.0	52.0	127.0	75.0	23.0	98.0
-	75.0	20.0	95.0	61.0	40.0	101.0	69.0	55.0	124.0	77.0	25.0	102.0
-	58.0	21.0	79.0	62.0	31.0	93.0	63.0	43.0	106.0	74.0	33.0	107.0
-	52.0	14.0	66.0	66.0	12.0	78.0	62.0	55.0	117.0	79.0	13.0	92.0
-	59.0	13.0	72.0	58.0	32.0	90.0	69.0	49.0	118.0	76.0	27.0	103.0
-	52.0	21.0	73.0	68.0	16.0	84.0	72.0	39.0	111.0	74.0	26.0	100.0
-	57.0	28.0	85.0	56.0	30.0	86.0	63.0	55.0	118.0	70.0	35.0	105.0
-	52.0	20.0	72.0	57.0	22.0	79.0	67.0	47.0	114.0	88.0	20.0	108.0
-	52.0	25.0	77.0	56.0	32.0	88.0	67.0	58.0	125.0	69.0	33.0	102.0
-	53.0	20.0	73.0	56.0	24.0	80.0	63.0	50.0	113.0	83.0	20.0	103.0
-	55.0	19.0	74.0	66.0	20.0	86.0	69.0	45.0	114.0	71.0	14.0	85.0
-	52.0	34.0	86.0	69.0	21.0	90.0	69.0	41.0	110.0	78.0	8.0	86.0
-	55.0	15.0	70.0	63.0	25.0	88.0	61.0	49.0	110.0	77.0	11.0	88.0
-	53.0	16.0	69.0	59.0	33.0	92.0	62.0	51.0	113.0	83.0	9.0	92.0
-	53.0	16.0	69.0	57.0	39.0	96.0	72.0	47.0	119.0	83.0	19.0	102.0
-	53.0	44.0	97.0	61.0	25.0	86.0	146.0	-23.0	123.0	81.0	23.0	104.0
-	51.0	23.0	74.0	64.0	29.0	93.0	198.0	-79.0	119.0	71.0	26.0	97.0
-	59.0	10.0	69.0	63.0	35.0	98.0	98.0	12.0	110.0	182.0	-90.0	92.0
-	61.0	18.0	79.0	56.0	40.0	96.0	64.0	53.0	117.0	71.0	22.0	93.0
-	53.0	15.0	68.0	61.0	17.0	78.0	64.0	42.0	106.0	70.0	20.0	90.0
